Name,Age,Nationality,Overall,Potential,Club,Value,Wage
Thiago,26,Spain,88,89,FC Bayern Munich,68500000,225000
G. Chiellini,32,Italy,89,89,Juventus,38000000,225000
P. Aubameyang,28,Gabon,87,87,Arsenal,52000000,220000
P. Dybala,23,Argentina,89,94,Juventus,89000000,215000
M. Hummels,28,Germany,90,90,FC Bayern Munich,62500000,215000
H. Kane,23,England,88,91,Tottenham Hotspur,76500000,210000
C. Eriksen,25,Denmark,88,91,Tottenham Hotspur,74500000,210000
R. Lukaku,24,Belgium,86,90,Manchester United,59000000,210000
E. Cavani,30,Uruguay,88,88,Paris Saint-Germain,57000000,210000
M. Salah,25,Egypt,87,90,Liverpool,63000000,205000
M. Özil,28,Germany,87,87,Arsenal,51000000,205000
Willian,28,Brazil,84,84,Chelsea,31500000,200000
Marco Asensio,21,Spain,84,92,Real Madrid CF,46000000,195000
Carvajal,25,Spain,84,87,Real Madrid CF,32000000,195000
T. Courtois,25,Belgium,89,92,Chelsea,59000000,190000
T. Mueller,27,Germany,86,86,FC Bayern Munich,47500000,190000
M. Pjanić,27,Bosnia Herzegovina,86,86,Juventus,45500000,190000
I. Guendoğan,26,Germany,85,86,Manchester City,44500000,190000
Azpilicueta,27,Spain,86,88,Chelsea,43500000,190000
M. ter Stegen,25,Germany,87,90,FC Barcelona,44500000,185000
Lucas Vazquez,26,Spain,82,83,Real Madrid CF,26000000,185000
R. Sterling,22,England,85,88,Manchester City,49000000,180000
Bernardo Silva,22,Portugal,84,90,Manchester City,42500000,180000
A. Lacazette,26,France,84,87,Arsenal,39500000,180000
N. Matić,28,Serbia,85,85,Manchester United,31000000,180000
N. Otamendi,29,Argentina,85,85,Manchester City,30000000,180000
Paulinho,28,Brazil,83,83,FC Barcelona,25500000,180000
Roberto Firmino,25,Brazil,85,87,Liverpool,48000000,175000
R. Varane,24,France,85,92,Real Madrid CF,46500000,175000
Alex Sandro,26,Brazil,86,87,Juventus,42500000,175000
S. Mane,25,Senegal,84,85,Liverpool,37000000,175000
S. Umtiti,23,France,84,90,FC Barcelona,36500000,175000
Cesc Fàbregas,30,Spain,85,85,Chelsea,35500000,175000
H. Mkhitaryan,28,Armenia,84,84,Arsenal,31500000,175000
A. Robben,33,Netherlands,87,87,FC Bayern Munich,30500000,175000
Morata,24,Spain,84,88,Chelsea,41000000,170000
K. Walker,27,England,84,85,Manchester City,29000000,170000
V. Kompany,31,Belgium,85,85,Manchester City,26000000,170000
Fernandinho,32,Brazil,85,85,Manchester City,22000000,170000
L. Sane,21,Germany,85,92,Manchester City,54500000,165000
J. Boateng,28,Germany,87,87,FC Bayern Munich,41000000,165000
H. Lloris,30,France,88,88,Tottenham Hotspur,38000000,165000
L. Bonucci,30,Italy,86,86,Milan,33000000,165000
K. Navas,30,Costa Rica,85,85,Real Madrid CF,24500000,165000
A. Vidal,30,Chile,86,86,FC Bayern Munich,33000000,160000
S. Khedira,30,Germany,84,84,Juventus,29000000,160000
C. Marchisio,31,Italy,84,84,Juventus,26500000,160000
David Luiz,30,Brazil,84,84,Chelsea,23000000,160000
A. Turan,30,Turkey,81,81,İstanbul Başakşehir FK,16500000,160000
J. Vertonghen,30,Belgium,86,86,Tottenham Hotspur,33000000,155000
Pedro,29,Spain,83,83,Chelsea,25500000,155000
A. Griezmann,26,France,88,89,Atletico Madrid,71000000,150000
O. Dembele,20,France,83,92,FC Barcelona,40000000,150000
E. Bailly,23,Ivory Coast,84,89,Manchester United,35500000,150000
Douglas Costa,26,Brazil,84,84,Juventus,33500000,150000
M. Dembele,29,Belgium,84,84,Tottenham Hotspur,30000000,150000
Andre Gomes,23,Portugal,82,88,FC Barcelona,30000000,150000
M. Kovačić,23,Croatia,82,88,Real Madrid CF,30000000,150000
Juan Mata,29,Spain,83,83,Manchester United,25500000,150000
Sergi Roberto,25,Spain,82,85,FC Barcelona,23000000,150000
Deulofeu,23,Spain,81,85,Watford,23000000,150000
O. Giroud,30,France,82,82,Chelsea,21500000,150000
F. Ribery,34,France,85,85,FC Bayern Munich,19500000,150000
Paco Alcacer,23,Spain,79,85,FC Barcelona,17500000,150000
Fabio Coentrão,29,Portugal,79,79,Sporting CP,9500000,150000
V. van Dijk,25,Netherlands,84,86,Liverpool,31500000,145000
A. Di Maria,29,Argentina,84,84,Paris Saint-Germain,30500000,145000
M. Benatia,30,Morocco,85,85,Juventus,28500000,145000
B. Matuidi,30,France,85,85,Juventus,28500000,145000
Ander Herrera,27,Spain,83,83,Manchester United,26500000,145000
Javi Martinez,28,Spain,84,84,FC Bayern Munich,25000000,145000
Nacho Fernandez,27,Spain,81,83,Real Madrid CF,17500000,145000
T. Alderweireld,28,Belgium,85,86,Tottenham Hotspur,35000000,140000
Rafinha,24,Brazil,81,86,Inter,23500000,140000
Denis Suarez,23,Spain,80,87,FC Barcelona,20500000,140000
M. Fellaini,29,Belgium,79,79,Manchester United,12000000,140000
L. Insigne,26,Italy,87,88,Napoli,59000000,135000
D. Mertens,30,Belgium,87,87,Napoli,48500000,135000
Thiago Silva,32,Brazil,87,87,Paris Saint-Germain,29000000,135000
M. Mandžukić,31,Croatia,83,83,Juventus,23500000,135000
A. Lallana,29,England,82,82,Liverpool,21500000,135000
Lucas Perez,28,Spain,80,80,RC Deportivo de La Coruña,15500000,135000
Y. Toure,34,Ivory Coast,80,80,Manchester City,7000000,135000
M. Verratti,24,Italy,87,90,Paris Saint-Germain,63000000,130000
M. Hamšik,29,Slovakia,87,87,Napoli,48500000,130000
R. Nainggolan,29,Belgium,86,86,Roma,42500000,130000
D. Alaba,25,Austria,85,87,FC Bayern Munich,38500000,130000
A. Ramsey,26,Wales,83,84,Arsenal,30000000,130000
J. Cuadrado,29,Colombia,83,83,Juventus,25500000,130000
G. Wijnaldum,26,Netherlands,82,83,Liverpool,25500000,130000
D. Sturridge,27,England,81,81,West Bromwich Albion,19000000,130000
C. Tosun,26,Turkey,80,82,Everton,18000000,130000
A. Valencia,31,Ecuador,83,83,Manchester United,17000000,130000
D. Welbeck,26,England,79,80,Arsenal,15000000,130000
Gabriel Jesus,20,Brazil,83,92,Manchester City,41000000,125000
D. Godin,31,Uruguay,88,88,Atletico Madrid,40000000,125000
H. Son,24,Korea Republic,84,87,Tottenham Hotspur,39500000,125000
C. Bacca,30,Colombia,82,82,Villarreal CF,21500000,125000
Marcos Alonso,26,Spain,82,83,Chelsea,21000000,125000
Nelson Semedo,23,Portugal,81,87,FC Barcelona,20500000,125000
M. Arnautović,28,Austria,81,81,West Ham United,18500000,125000
Y. Mina,22,Colombia,80,87,FC Barcelona,18000000,125000
G. Cahill,31,England,82,82,Chelsea,15000000,125000
J. Cillessen,28,Netherlands,81,83,FC Barcelona,15000000,125000
D. Drinkwater,27,England,80,80,Chelsea,15000000,125000
L. Digne,23,France,79,84,FC Barcelona,14000000,125000
J. Hernandez,29,Mexico,79,79,West Ham United,12500000,125000
T. Walcott,28,England,79,79,Everton,12500000,125000
M. Icardi,24,Argentina,87,91,Inter,66500000,120000
J. Draxler,23,Germany,84,87,Paris Saint-Germain,39500000,120000
S. Handanovič,32,Slovenia,88,88,Inter,34000000,120000
R. Mahrez,26,Algeria,84,84,Leicester City,33500000,120000
W. Szczęsny,27,Poland,84,86,Juventus,25000000,120000
M. Batshuayi,23,Belgium,81,85,Borussia Dortmund,23500000,120000
G. Sigurðsson,27,Iceland,81,81,Everton,18500000,120000
C. Smalling,27,England,81,82,Manchester United,17000000,120000
M. Rojo,27,Argentina,80,81,Manchester United,14000000,120000
M. Antonio,27,England,79,79,West Ham United,13500000,120000
J. Milner,31,England,80,80,Liverpool,12500000,120000
W. Rooney,31,England,80,80,Everton,12500000,120000
S. Wagner,29,Germany,79,79,FC Bayern Munich,12500000,120000
D. Blind,27,Netherlands,80,80,Manchester United,12000000,120000
Santi Cazorla,32,Spain,80,80,Arsenal,11000000,120000
F. Delph,27,England,79,79,Manchester City,10500000,120000
Kiko Casilla,30,Spain,80,80,Real Madrid CF,9500000,120000
A. Young,31,England,79,79,Manchester United,8000000,120000
Aleix Vidal,27,Spain,76,76,FC Barcelona,6500000,120000
D. Alli,21,England,84,90,Tottenham Hotspur,43000000,115000
A. Martial,21,France,83,90,Manchester United,36500000,115000
Ederson,23,Brazil,85,89,Manchester City,36000000,115000
E. Džeko,31,Bosnia Herzegovina,85,85,Roma,34500000,115000
J. Kimmich,22,Germany,84,88,FC Bayern Munich,33500000,115000
A. Laporte,23,France,83,88,Manchester City,29500000,115000
G. Bonaventura,27,Italy,82,82,Milan,23000000,115000
J. Lingard,24,England,81,84,Manchester United,22500000,115000
J. Wilshere,25,England,81,83,Arsenal,21500000,115000
I. Gueye,27,Senegal,82,82,Everton,18500000,115000
L. Koscielny,31,France,83,83,Arsenal,17500000,115000
P. Jones,25,England,80,81,Manchester United,14500000,115000
S. Coleman,28,Republic of Ireland,81,81,Everton,14000000,115000
V. Moses,26,Nigeria,80,81,Chelsea,14000000,115000
Danilo,25,Brazil,79,81,Manchester City,12500000,115000
Munir,21,Spain,76,83,Deportivo Alaves,11000000,115000
C. Immobile,27,Italy,86,86,Lazio,47500000,110000
I. Perišić,28,Croatia,85,85,Inter,39000000,110000
F. Bernardeschi,23,Italy,82,88,Juventus,30500000,110000
Suso,23,Spain,82,87,Milan,29500000,110000
G. Xhaka,24,Switzerland,82,85,Arsenal,27500000,110000
S. Mustafi,25,Germany,83,85,Arsenal,26500000,110000
J. Matip,25,Cameroon,82,84,Liverpool,22500000,110000
R. Barkley,23,England,80,83,Chelsea,19000000,110000
M. van Ginkel,24,Netherlands,80,82,PSV,18000000,110000
J. Henderson,27,England,81,83,Liverpool,17500000,110000
N. Clyne,26,England,81,82,Liverpool,17000000,110000
D. Lovren,27,Croatia,80,82,Liverpool,14500000,110000
D. Zappacosta,25,Italy,79,83,Chelsea,13500000,110000
M. Schneiderlin,27,France,80,80,Everton,12500000,110000
Nacho Monreal,31,Spain,80,80,Arsenal,10000000,110000
K. Asamoah,28,Ghana,79,79,Juventus,10000000,110000
L. Baines,32,England,80,80,Everton,8000000,110000
G. Buffon,39,Italy,89,89,Juventus,4500000,110000
P. Jagielka,34,England,79,79,Everton,3800000,110000
N. Suele,21,Germany,84,90,FC Bayern Munich,36500000,105000
Lucas,24,Brazil,82,84,Tottenham Hotspur,27500000,105000
A. Oxlade-Chamberlain,23,England,81,85,Liverpool,23000000,105000
E. Can,23,Germany,80,85,Liverpool,19500000,105000
H. Çalhanoğlu,23,Turkey,80,84,Milan,19500000,105000
D. Klaassen,24,Netherlands,80,83,Everton,18500000,105000
S. Rudy,27,Germany,81,81,FC Bayern Munich,18000000,105000
Andreas Pereira,21,Brazil,79,86,Valencia CF,18000000,105000
J. Stones,23,England,80,86,Manchester City,17500000,105000
Dani Ceballos,20,Spain,78,88,Real Madrid CF,16500000,105000
B. Mendy,22,France,79,87,Manchester City,15500000,105000
L. Biglia,31,Argentina,82,82,Milan,15000000,105000
Marcos Llorente,22,Spain,78,86,Real Madrid CF,13000000,105000
A. Carroll,28,England,77,77,West Ham United,9000000,105000
Y. Bolasie,28,DR Congo,77,77,Everton,9000000,105000
S. Lichtsteiner,33,Switzerland,80,80,Juventus,5500000,105000
De Tomas,22,Spain,73,80,Rayo Vallecano,5500000,105000
A. Barzagli,36,Italy,84,84,Juventus,4200000,105000
Diego Costa,28,Spain,85,85,Atletico Madrid,40000000,100000
J. Pastore,28,Argentina,83,83,Paris Saint-Germain,25500000,100000
E. Mangala,26,France,78,80,Everton,10500000,100000
M. Darmian,27,Italy,78,78,Manchester United,8500000,100000
M. Reus,28,Germany,85,85,Borussia Dortmund,39000000,98000
Marquinhos,23,Brazil,84,89,Paris Saint-Germain,35500000,98000
C. Tolisso,22,France,82,89,FC Bayern Munich,30500000,98000
D. Tadić,28,Serbia,79,79,Southampton,12500000,98000
S. Romero,30,Argentina,80,80,Manchester United,9500000,97000
C. Bravo,34,Chile,80,80,Manchester City,6000000,97000
K. Koulibaly,26,Senegal,85,88,Napoli,40000000,96000
K. Manolas,26,Greece,85,87,Roma,38500000,96000
Miranda,32,Brazil,85,85,Inter,22000000,96000
J. Vardy,30,England,82,82,Leicester City,21500000,96000
A. Ruediger,24,Germany,81,85,Chelsea,19500000,96000
E. Lamela,25,Argentina,80,81,Tottenham Hotspur,17500000,96000
T. Bakayoko,22,France,80,85,Chelsea,17000000,96000
M. Musacchio,26,Argentina,80,80,Milan,13000000,96000
G. Lapadula,27,Italy,76,76,Genoa,8000000,96000
Filipe Luis,31,Brazil,86,86,Atletico Madrid,29000000,95000
M. Lanzini,24,Argentina,81,86,West Ham United,24000000,95000
R. Snodgrass,29,Scotland,76,76,Aston Villa,7500000,95000
A. Christensen,21,Denmark,82,90,Chelsea,28500000,93000
N. Fekir,23,France,84,88,Olympique Lyonnais,40500000,92000
X. Shaqiri,25,Switzerland,82,83,Stoke City,26500000,92000
Adrien Silva,28,Portugal,82,82,Leicester City,22000000,92000
V. Wanyama,26,Kenya,81,84,Tottenham Hotspur,18500000,92000
D. Rose,26,England,81,81,Tottenham Hotspur,15000000,92000
K. Trippier,26,England,80,81,Tottenham Hotspur,14000000,92000
I. Slimani,29,Algeria,79,79,Newcastle United,12500000,92000
D. Origi,22,Belgium,77,82,VfL Wolfsburg,12000000,92000
J. Campbell,25,Costa Rica,77,80,Real Betis Balompie,11000000,92000
D. Ings,24,England,76,80,Liverpool,10000000,92000
S. Kolašinac,24,Bosnia Herzegovina,81,84,Arsenal,18500000,91000
Hector Bellerin,22,Spain,80,86,Arsenal,17000000,91000
M. Keane,24,England,80,83,Everton,16000000,91000
A. Robertson,23,Scotland,79,84,Liverpool,14000000,91000
S. Mignolet,29,Belgium,80,80,Liverpool,10000000,91000
Llorente,32,Spain,77,77,Tottenham Hotspur,7000000,91000
M. Noble,30,England,76,76,West Ham United,7000000,91000
Sokratis,29,Greece,85,85,Borussia Dortmund,30000000,90000
S. Gnabry,21,Germany,79,85,TSG 1899 Hoffenheim,17500000,90000
Vallejo,20,Spain,78,87,Real Madrid CF,14000000,90000
M. Pašalić,22,Croatia,76,85,Spartak Moscow,11500000,89000
M. Pjaca,22,Croatia,76,83,FC Schalke 04,11000000,89000
K. Coman,21,France,82,87,FC Bayern Munich,30000000,88000
D. Rugani,22,Italy,81,88,Juventus,21500000,88000
M. Caldara,23,Italy,79,87,Atalanta,16000000,88000
H. Ben Arfa,30,France,79,79,Paris Saint-Germain,12000000,88000
A. Bertolacci,26,Italy,77,78,Genoa,10500000,88000
J. McCarthy,26,Republic of Ireland,78,79,Everton,10000000,88000
R. Funes Mori,26,Argentina,77,80,Everton,9000000,88000
O. Niasse,27,Senegal,75,75,Everton,7000000,88000
A. Williams,32,Wales,77,77,Everton,5000000,88000
Jose Callejón,30,Spain,83,83,Napoli,24500000,87000
A. Ogbonna,29,Italy,78,78,West Ham United,8000000,87000
Dani Alves,34,Brazil,83,83,Paris Saint-Germain,7500000,87000
W. Reid,28,New Zealand,77,77,West Ham United,7000000,87000
Giuliano,27,Brazil,83,84,Fenerbahçe SK,29500000,86000
M. Valbuena,32,France,81,81,Fenerbahçe SK,14000000,86000
V. Lindelöf,22,Sweden,78,85,Manchester United,12500000,86000
V. Lindelöf,22,Sweden,78,85,Manchester United,12500000,86000
R. Bertrand,27,England,79,79,Southampton,10500000,86000
C. Austin,27,England,77,77,Southampton,9500000,85000
Koke,25,Spain,85,88,Atletico Madrid,47500000,84000
D. Perotti,28,Argentina,81,81,Roma,18000000,84000
A. Gignac,31,France,81,81,Tigres U.A.N.L.,16000000,84000
N. Kalinić,29,Croatia,79,79,Milan,12500000,84000
M. Niang,22,Senegal,77,83,Torino,12000000,84000
Sandro,21,Spain,76,82,Sevilla FC,11000000,84000
M. Sissoko,27,France,77,77,Tottenham Hotspur,9500000,84000
A. Rabiot,22,France,82,86,Paris Saint-Germain,28500000,83000
A. Romagnoli,22,Italy,80,87,Milan,18000000,83000
R. Rodriguez,24,Switzerland,80,83,Milan,15500000,83000
C. Kouyate,27,Senegal,76,76,West Ham United,6500000,83000
Lucas Piazon,23,Brazil,73,78,Fulham,5500000,83000
P. Zabaleta,32,Argentina,76,76,West Ham United,4300000,83000
J. Oblak,24,Slovenia,89,93,Atletico Madrid,62000000,82000
M. Gabbiadini,25,Italy,78,80,Southampton,13000000,82000
G. Krychowiak,27,Poland,79,80,West Bromwich Albion,12000000,81000
L. Spinazzola,24,Italy,77,80,Atalanta,11500000,81000
S. Sturaro,24,Italy,76,81,Juventus,10000000,81000
S. Ulreich,28,Germany,79,79,FC Bayern Munich,9000000,81000
L. Diarra,32,France,80,80,Paris Saint-Germain,8500000,81000
K. Strootman,27,Netherlands,83,83,Roma,26500000,80000
A. Kokorin,26,Russia,80,81,Zenit St. Petersburg,17500000,80000
Borja Valero,32,Spain,82,82,Inter,17000000,80000
Ze Luis,26,Cape Verde,79,80,Spartak Moscow,15000000,80000
Eder,30,Italy,80,80,Inter,14500000,80000
K. Zouma,22,France,78,85,Stoke City,12500000,80000
C. Musonda,20,Belgium,76,86,Celtic,12500000,80000
V. Janssen,23,Netherlands,77,82,Fenerbahçe SK,12000000,80000
Pepe,34,Portugal,85,85,Beşiktaş JK,11500000,80000
A. Baba,22,Ghana,76,82,FC Schalke 04,9000000,80000
Emerson,22,Italy,76,80,Chelsea,8500000,80000
C. Zapata,30,Colombia,78,78,Milan,7500000,80000
L. Antonelli,30,Italy,76,76,Milan,5500000,80000
K. Kampl,26,Slovenia,82,83,RB Leipzig,25500000,79000
E. Dier,23,England,81,85,Tottenham Hotspur,19500000,79000
B. Davies,24,Wales,81,84,Tottenham Hotspur,18500000,79000
S. Aurier,24,Ivory Coast,81,84,Tottenham Hotspur,18500000,79000
Pedro Obiang,25,Spain,77,80,West Ham United,9500000,79000
J. Clasie,26,Netherlands,76,79,Club Brugge KV,9500000,79000
P. Čech,35,Czech Republic,84,84,Arsenal,7500000,79000
A. Lopes,26,Portugal,84,86,Olympique Lyonnais,26000000,78000
Iborra,29,Spain,81,81,Leicester City,14000000,78000
Roque Mesa,28,Spain,80,80,Sevilla FC,12000000,78000
J. Evans,29,Northern Ireland,79,79,West Bromwich Albion,10000000,78000
Saúl,22,Spain,84,91,Atletico Madrid,43000000,77000
Jorginho,25,Italy,82,85,Napoli,27500000,77000
T. Meunier,25,Belgium,81,84,Paris Saint-Germain,18500000,77000
B. Gomis,31,France,80,80,Galatasaray SK,13500000,77000
Andre Silva,21,Portugal,77,85,Milan,13500000,77000
W. Bony,28,Ivory Coast,78,78,Swansea City,10500000,77000
M. Diouf,29,Senegal,77,77,Stoke City,9000000,77000
Q. Promes,25,Netherlands,83,84,Spartak Moscow,31000000,76000
D. Sanchez,21,Colombia,82,88,Tottenham Hotspur,26000000,76000
H. Onyekuru,20,Nigeria,76,86,RSC Anderlecht,12500000,76000
L. Shaw,21,England,78,83,Manchester United,11500000,76000
A. Iwobi,21,Nigeria,76,84,Arsenal,11500000,76000
Souza,28,Brazil,79,79,Fenerbahçe SK,10000000,76000
M. Elneny,24,Egypt,77,81,Arsenal,10000000,76000
Alberto Moreno,24,Spain,77,80,Liverpool,9500000,76000
D. Ospina,28,Colombia,78,78,Arsenal,7500000,76000
Marlon Santos,21,Brazil,73,80,OGC Nice,4900000,76000
E. Forsberg,25,Sweden,82,84,RB Leipzig,27000000,75000
S. Kagawa,28,Japan,83,83,Borussia Dortmund,26000000,75000
C. Benteke,26,Belgium,79,80,Crystal Palace,15000000,75000
S. Boufal,23,Morocco,77,80,Southampton,11500000,75000
M. Rashford,19,England,81,90,Manchester United,26500000,74000
Allan,26,Brazil,81,82,Napoli,20500000,74000
A. Candreva,30,Italy,81,81,Inter,17000000,74000
O. Shatov,26,Russia,79,79,FC Krasnodar,13500000,74000
A. Ayew,27,Ghana,78,78,Swansea City,11000000,74000
A. Samedov,32,Russia,79,79,Spartak Moscow,10000000,74000
C. Noboa,32,Ecuador,79,79,Rubin Kazan,9500000,74000
J. Rodriguez,27,England,77,77,West Bromwich Albion,9500000,74000
S. Rondón,27,Venezuela,77,77,West Bromwich Albion,9500000,74000
S. Okazaki,31,Japan,77,77,Leicester City,8000000,74000
S. de Vrij,25,Netherlands,84,89,Lazio,35000000,73000
K. Gameiro,30,France,82,82,Atletico Madrid,21500000,73000
A. Florenzi,26,Italy,82,83,Roma,21000000,73000
F. Fazio,30,Argentina,83,83,Roma,19000000,73000
D. Didavi,27,Germany,81,81,VfL Wolfsburg,18500000,73000
Raúl Albiol,31,Spain,83,83,Napoli,17500000,73000
D. De Rossi,33,Italy,83,83,Roma,10500000,73000
G. Nkoudou,22,France,76,82,Burnley,10500000,73000
M. Škrtel,32,Slovakia,81,81,Fenerbahçe SK,10000000,73000
M. De Sciglio,24,Italy,77,81,Juventus,9500000,73000
B. Ivanović,33,Serbia,82,82,Zenit St. Petersburg,9000000,73000
W. Zaha,24,Ivory Coast,82,85,Crystal Palace,28500000,72000
A. Yarmolenko,27,Ukraine,81,81,Borussia Dortmund,18500000,72000
S. Defour,29,Belgium,79,79,Burnley,12000000,72000
P. Roberts,20,England,74,84,Celtic,9000000,72000
G. Carrillo,26,Argentina,75,76,Southampton,8000000,72000
J. Denayer,22,Belgium,74,81,Galatasaray SK,7000000,72000
S. Long,30,Republic of Ireland,75,75,Southampton,6500000,72000
M. Depay,23,Netherlands,81,86,Olympique Lyonnais,24000000,71000
S. El Shaarawy,24,Italy,81,83,Roma,22000000,71000
Mariano,23,Dominican Republic,80,85,Olympique Lyonnais,20000000,71000
Y. Belhanda,27,Morocco,81,81,Galatasaray SK,18500000,71000
A. Milik,23,Poland,79,86,Napoli,18000000,71000
J. Pickford,23,England,80,86,Everton,15000000,71000
L. Karius,24,Germany,80,84,Liverpool,14000000,71000
S. Feghouli,27,Algeria,79,79,Galatasaray SK,13000000,71000
E. Choupo-Moting,28,Cameroon,78,78,Stoke City,10500000,71000
J. Ayew,25,Ghana,77,78,Swansea City,10500000,71000
M. Badelj,28,Croatia,79,79,Fiorentina,10000000,71000
I. Smolnikov,28,Russia,79,79,Zenit St. Petersburg,10000000,71000
M. Ødegaard,18,Norway,74,86,SC Heerenveen,9500000,71000
A. Masuaku,23,DR Congo,76,82,West Ham United,9000000,71000
L. Marković,23,Serbia,75,79,RSC Anderlecht,8500000,71000
Ki Sung Yueng,28,Korea Republic,76,76,Swansea City,7500000,71000
E. Valencia,27,Ecuador,78,78,Tigres U.A.N.L.,11000000,70000
L. Pavoletti,28,Italy,77,77,Cagliari,9000000,70000
A. Dzyuba,28,Russia,77,77,Arsenal Tula,9000000,70000
A. Cresswell,27,England,74,75,West Ham United,5500000,70000
J. Collins,33,Wales,75,75,West Ham United,2700000,70000
M. Götze,25,Germany,83,87,Borussia Dortmund,33000000,69000
Gonçalo Guedes,20,Portugal,80,89,Valencia CF,23000000,69000
Y. Mallı,25,Turkey,79,81,VfL Wolfsburg,15500000,69000
R. Pereyra,26,Argentina,79,80,Watford,15000000,69000
L. Kurzawa,24,France,79,82,Paris Saint-Germain,13000000,69000
N. Amrabat,30,Morocco,79,79,CD Leganes,12000000,69000
J. King,25,Norway,77,79,Bournemouth,11000000,69000
C. Wilson,25,England,77,79,Bournemouth,11000000,69000
M. Gradel,29,Ivory Coast,77,77,Toulouse FC,8500000,69000
Falcao,31,Colombia,85,85,AS Monaco,34500000,68000
T. Werner,21,Germany,83,87,RB Leipzig,34500000,68000
N. Keïta,22,Guinea,83,88,RB Leipzig,34000000,68000
Vitolo,27,Spain,83,83,Atletico Madrid,27000000,68000
F. Ghoulam,26,Algeria,80,81,Napoli,14000000,68000
Marcelo,30,Brazil,81,81,Olympique Lyonnais,13000000,68000
D. Astori,30,Italy,81,81,Fiorentina,13000000,68000
N. Nkoulou,27,Cameroon,80,80,Torino,12500000,68000
Maicon,28,Brazil,80,80,Galatasaray SK,12000000,68000
J. Ward-Prowse,22,England,77,82,Southampton,12000000,68000
A. Kolarov,31,Serbia,81,81,Roma,11500000,68000
M. Lemina,23,Gabon,77,82,Southampton,11500000,68000
N. Chadli,27,Belgium,78,78,West Bromwich Albion,11000000,68000
Cedric,25,Portugal,78,80,Southampton,10500000,68000
Oriol Romeu,25,Spain,78,80,Southampton,10500000,68000
J. Allen,27,Wales,78,78,Stoke City,10500000,68000
Bojan,26,Spain,77,78,Deportivo Alaves,10500000,68000
R. Loftus-Cheek,21,England,75,84,Crystal Palace,10500000,68000
Fernando,29,Brazil,79,79,Galatasaray SK,10000000,68000
N. Redmond,23,England,76,80,Southampton,10000000,68000
Kenedy,21,Brazil,75,83,Newcastle United,10000000,68000
Fernando Torres,33,Spain,80,80,Atletico Madrid,9500000,68000
Bernat,24,Spain,77,80,FC Bayern Munich,9500000,68000
C. Ansaldi,30,Argentina,79,79,Torino,9000000,68000
Rafael Carioca,28,Brazil,77,77,Tigres U.A.N.L.,9000000,68000
L. Fer,27,Netherlands,77,77,Swansea City,9000000,68000
B. Ndiaye,26,Senegal,76,77,Stoke City,9000000,68000
M. Phillips,26,Scotland,76,76,West Bromwich Albion,8500000,68000
M. Ritchie,27,Scotland,76,76,Newcastle United,8000000,68000
M. Albrighton,27,England,76,76,Leicester City,8000000,68000
Borja Mayoral,20,Spain,72,84,Real Madrid CF,5500000,68000
K. Omeruo,23,Nigeria,73,80,Kasimpaşa SK,4800000,68000
Quaresma,33,Portugal,83,83,Beşiktaş JK,15500000,67000
D. Criscito,30,Italy,81,81,Zenit St. Petersburg,13000000,67000
D. Zapata,26,Colombia,78,79,Sampdoria,12500000,67000
Negredo,31,Spain,79,79,Beşiktaş JK,11500000,67000
Luiz Adriano,30,Brazil,78,78,Spartak Moscow,10000000,67000
S. Tasci,30,Germany,79,79,Spartak Moscow,9500000,67000
