Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Population Density (per sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Australia,AUS,23850784,1.464059816,7741220,3.081011003,..,1.44E+12,60360,1.08E+12,45270,..,82.4,1.809,13.6616,..,99.7,3.8,..,95,..,158.1471863,0.925260007,0.1,1247510,78.29382452,5475.81765,..,..,1.35E+12,2.351136441,-0.728029657,2.372696749,23.54903528,20.01296407,21.53442325,26.1433301,24.50925248,3,87.99507085,1.958451254,108.2793309,13.51306446,29.39094816,148.3021277,..,..,..,6013698633,37419460118,..,56561.41238,-37718475836,1.508366722
Austria,AUT,8642699,1.120992502,83879,103.0376972,..,4.12E+11,47630,4.28E+11,49520,7.9,81.1902439,1.49,7.522,..,98.5,3.7,..,96,100.1809998,100.1279678,0.973330021,0.1,38690,..,3800.29942,..,..,3.82E+11,1.091854232,2.314823496,1.111554694,25.02728574,52.93149063,49.20451979,23.57060083,45.07115772,8,25.14732992,0.707098642,155.2155247,13.35296768,80.86220401,89.84064892,..,..,..,4342594631,-8577282615,..,44206.78428,6361435808,0.896565316
Azerbaijan,AZE,9649341,1.191209858,86600,111.424261,..,63236286883,6550,1.65E+11,17100,..,71.921,1.94,51.7,..,99.8,26.4,..,98,103.2802124,..,..,0.1,11394,..,..,..,..,53074370486,1.099999809,-8.855123624,6.2,45,37.79477749,34.80673042,27.91357117,34.18370725,4,..,5.467692081,111.2258882,2.533869681,48.62799081,114.5609143,13216189000,2.165866052,..,1293019000,4047630000,7.215000486,5500.310382,-838252000,4.009438315
"Bahamas, The",BHS,386838,1.214308159,13880,27.87017291,..,10798735842,27920,11471609124,29650,..,75.527,1.778,29.1548,..,..,8,..,94,..,..,..,2,5150,..,..,..,..,11792300000,1.044959524,6.507529872,0.818330606,11.1267522,34.98130136,38.70576563,24.69408004,14.39336686,8,..,..,80.44064957,..,29.46414186,80.59779237,..,..,..,178800140.7,76075924.75,..,30483.8201,-76075924.75,1.86826447
Bahrain,BHR,1371855,2.618665193,771,..,..,31086070126,22660,60590568956,44170,..,76.761,2.056,13.618,..,99.7,7.6,..,99,98.7109375,102.1275177,1.004480004,0.1,6,..,..,..,..,31125851064,2.861967825,-9.368381023,0.315466039,40.29847941,82.4167843,71.65060855,26.52409744,..,7,61.84913614,4.632877365,183.6239982,0.952440783,87.19690897,125.8277569,..,..,..,2367287234,64893617.02,..,22688.87824,-3126063830,1.839519875
Bangladesh,BGD,161200886,1.120144259,147630,1091.924988,..,1.91E+11,1190,5.73E+11,3550,..,72.155,2.133,85.3076,..,..,36.4,..,94,98.07203674,63.41524887,1.101279974,0.1,14290,..,..,..,..,1.95E+11,6.552633316,5.872776577,14.78299741,26.83139001,17.33667493,24.74932415,28.88669115,9.844484788,9,..,1.350969906,81.49814015,0.298561387,38.15175775,67.58546718,38688480000,0.799882792,..,32102746.72,2831152765,15.94364686,1210.158769,-2771250741,6.19428023
Barbados,BRB,284217,0.293163377,430,660.9697674,..,4351719701,15310,4749698305,16710,..,75.755,1.796,41.1162,..,99,13.1,..,96,..,108.5445709,1.018710017,1.5,63,..,..,..,..,4584150000,0.9,-1.412421927,1.344851281,13.86625656,35.22790485,43.77256416,17.33909231,27.47666345,8,..,..,117.7945021,18.34739621,45.83211719,120.4177517,..,..,..,..,69489165.77,..,16129.04928,..,-1.112789925
Belarus,BLR,9489616,0.159300802,207600,45.71105973,5.1,63736552644,6720,1.67E+11,17550,9.5,73.62439024,1.724,18.7992,..,..,4.1,..,99,96.75592804,104.8267365,0.991770029,0.4,86335,..,..,..,..,56454734397,-3.829569366,16.02249234,6.283207583,32.69230577,58.01076657,57.90405963,29.03469599,29.67688509,5,..,1.325167063,120.688975,4.314920044,100.8806447,98.80975168,37934720000,9.901795294,..,162300000,1652300000,11.020467,5949.106307,-1545700000,13.53448976
Belgium,BEL,11274196,0.579446242,30530,369.2825418,..,4.99E+11,44230,5.11E+11,45330,8.6,80.99268293,1.7,5.3384,..,..,4,..,96,..,163.9305267,1.080549955,..,6834,..,4687.787049,..,..,4.55E+11,1.426956809,1.114787241,0.683393839,19.85685752,80.79436399,79.43496133,23.57775771,40.69494663,3,91.10337069,0.923589935,113.1658212,13.02287353,169.6685193,95.63680229,..,..,..,3759800059,-29117751602,..,40361.15419,15983764040,0.561429153
Belize,BLZ,359288,2.136281595,22970,15.6416195,..,1644345666,4580,2942676427,8190,..,70.192,2.544,65.9792,51.4,..,15.6,4.6,96,104.4042816,80.7973938,0.98032999,1.8,13663,..,..,..,..,1778567600,3.794991955,0.562685487,12.57330056,14.16828913,57.24902163,66.32536486,22.47396163,..,9,..,1.13153855,58.99055911,..,85.97710877,93.40222887,1330547000,5.636201306,..,41161360.53,59119223.9,78.68339605,4950.256062,-58649340.13,-0.861593811
Benin,BEN,10575952,2.772977926,114760,92.15712792,40.1,9160292815,870,22306140125,2110,3.2,60.639,5.048,90.2036,..,..,103.7,..,74,81.14125824,58.84737015,0.859269977,1,43110,..,..,..,..,8291155881,2.095808383,0.075747138,22.49276072,20.64317468,28.22097149,39.7977079,25.97169542,..,8,..,1.074734767,88.1051181,0.940595798,51.17145429,112.336445,2189758000,0.914640198,..,98142621.91,149642289.7,40.67151591,783.9630778,-116967795.5,0.273667816
Bermuda,BMU,65239,0.153517862,50,..,..,..,..,..,..,..,81.01219512,1.62,..,..,..,..,..,..,81.19551849,71.5424118,1.044589996,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.28735706,26.8315905,..,100.4004774,..,..,..,186973109.8,-143094386.1,..,..,58627864.43,..
Bhutan,BTN,787386,1.398892513,38394,20.50804813,..,1844513838,2340,5917365493,7520,..,69.817,2.086,23.8214,..,89,33.4,..,97,..,82.9149704,1.034119964,..,27549.3,..,..,..,..,2059258653,6.597448486,3.647474142,16.74089014,41.34637232,33.22427135,61.73077323,53.97221475,19.0345739,8,..,..,85.82156655,..,78.16983057,116.2010752,2013104000,6.872107463,..,54958721.17,6450953.85,123.5480438,2615.31022,-10768411.29,4.548143951
Bolivia,BOL,10724705,1.527225047,1098580,9.762334104,38.6,32208420025,3000,72044638301,6720,3.9,68.756,2.921,69.9186,..,..,37.5,..,95,90.46405029,86.40500641,0.977419972,0.3,547640,..,..,..,..,33000198263,4.857187895,-4.620602784,10.23949424,25.20241623,30.86829588,37.06454906,20.28127665,..,14,..,1.743970952,94.76091883,6.459543487,54.24612561,94.85392323,9913846000,3.060803574,..,210175743.5,554643532.3,73.78384767,3077.026199,-556430243.1,4.060963726
Bosnia and Herzegovina,BIH,3535961,-0.845996499,51210,69.04825229,16.9,17865081902,5050,41017189101,11600,7.7,76.735,1.345,10.8342,..,99.9,6,..,83,..,..,..,..,21850,..,..,..,..,16209702864,3.07674732,1.366440508,6.238864449,22.54002869,34.57786452,53.23088437,18.65574498,38.59324069,12,..,0.971696791,97.38568949,2.818924468,86.89325222,102.9737674,12867426000,10.75376472,..,55544289.46,383089615.7,100.4055192,4584.242548,-276174579.8,-1.023285045
Botswana,BWA,2209197,1.855975354,581730,3.797632922,..,14747102303,6680,35552385773,16090,..,65.846,2.774,33.4544,..,99.7,40.6,..,97,..,..,..,23.1,108400,..,..,..,..,14420551446,-1.697930592,1.864951505,2.200729123,29.98051892,52.1840157,53.50739187,32.07854282,33.14095428,9,..,2.662869697,157.3117744,0.632127018,94.11099116,89.84326081,2221726000,1.740031825,..,78532495.62,679446475.9,29.66688801,6527.508161,-494257591.3,3.062031696
Brazil,BRA,205962108,0.852799206,8515770,24.18596416,8.7,2.08E+12,10100,3.16E+12,15330,3.6,75.284,1.74,63.7578,..,99.1,15.7,..,96,..,99.65097046,1.017940044,0.6,4935380,..,..,..,..,1.80E+12,-3.549767247,7.570640312,4.319149429,19.3597938,12.90019142,14.05343452,17.41162586,28.97961461,11,27.2184107,1.364428607,125.1755852,12.30504082,20.5284402,108.3833114,5.43E+11,5.091079247,..,1339086890,74718044774,4.870556093,8750.222996,-61199691119,9.029807186
British Virgin Islands,VGB,30113,1.758809848,150,200.7533333,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.14968872,98.73355865,..,..,36.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,189.9345797,..,..,54.33274014,..,..,..,..,25680110000,..,..,..,..
Brunei Darussalam,BRN,417542,1.408049349,5770,72.36429809,..,16111237318,38590,34838050413,83440,..,77.046,1.884,11.6092,..,100,10.5,..,96,102.0652466,95.83003998,0.998889983,..,3800,..,..,..,..,12930394938,-0.566814609,-17.46827523,1.102486219,61.36235797,52.21059737,32.68646642,35.24580943,..,7,..,3.279291821,110.9790153,17.93470383,74.10244657,141.3202973,..,..,..,..,171289167.8,..,30967.89051,-171289167.8,-0.415121926
Bulgaria,BGR,7177991,-0.638069468,111000,64.66658559,22.9,53693625140,7480,1.27E+11,17750,..,74.61463415,1.53,41.0864,..,99.8,8.3,..,92,97.51863861,102.3444977,0.975229979,0.1,38230,9.706702438,..,..,..,50199104511,3.617459615,2.205825957,4.136738424,24.08805448,64.1072029,63.95946768,21.18982108,34.17045476,7,..,1.316453524,128.1054159,7.648513048,108.7952672,128.3793654,40115311000,19.24039521,..,150830000,2706690000,..,6993.475544,-2605410000,-0.104633261
Burkina Faso,BFA,18110624,2.939690431,274220,66.04413974,..,11297252240,620,29482601311,1630,..,59.927,5.436,108.7606,20.8,79.8,88.4,..,88,62.02993011,33.71878815,0.960349977,0.8,53500,..,..,..,..,10419303761,3.894548057,-3.073429795,30.27166607,18.9962275,26.04696282,36.28741425,24.32829122,17.00034372,3,..,1.33034916,79.77028842,4.982162836,50.44874923,130.6195846,2622005000,1.123317198,..,180630965.8,231726245.4,55.05000822,575.3144542,-217631986.6,0.954993317
Burundi,BDI,10199270,3.061102894,27830,366.4847287,..,2871817110,280,8123987509,800,..,57.094,5.781,28.0212,..,..,67.1,..,93,66.42690277,45.10604858,0.979210019,1.1,2760,..,..,..,..,3066681387,-3.921142751,4.856888773,37.07412419,15.09783033,6.25261841,29.74058332,16.57762035,..,3,..,2.33428347,49.00052651,3.49174225,27.49185356,145.0603239,625980000,0.848480195,..,21041437.16,49622865.77,35.93786614,300.6765569,-49470693.08,5.544688913
Cabo Verde,CPV,532913,1.222651753,4030,132.2364764,35,1685520840,3160,3232374316,6070,..,72.599,2.374,75.7158,..,91.4,19.7,..,92,89.09741211,85.28826141,1.010740042,0.6,899,..,..,..,..,1596154666,1.006863728,1.736266113,8.743695985,18.11510706,44.90744233,59.15864666,30.18659418,..,8,..,0.566746281,114.74068,..,42.03113984,109.65213,1540491000,2.752582028,..,14207581.32,96071472.84,286.7635055,2995.150553,-111989153.5,0.131187999
Cambodia,KHM,15517635,1.60352658,181040,85.71384777,..,16465389428,1060,51050595868,3290,..,68.62,2.594,49.6326,..,..,32,..,84,95.53391266,..,..,0.6,94570,..,..,..,..,18049954289,7.036087179,1.719270692,26.58036001,27.67957211,61.71842376,66.14564324,22.4529982,15.93599605,8,..,2.112689484,134.3667576,0.759983541,113.0953723,75.20794535,9327818000,4.476604808,..,251464151.5,1700968602,43.75924553,1163.18977,-1653507625,1.221270061
Cameroon,CMR,22834522,2.638536081,475440,48.02818863,..,33514546891,1470,78846068629,3450,..,57.582,4.778,111.8636,..,..,90.1,..,79,76.22255707,60.69432831,0.884859979,3.9,188160,..,..,..,..,30916218544,5.651463744,0.1791471,14.77247235,25.18184745,22.25966622,27.60954078,22.39604838,..,7,..,1.245103441,79.53162759,3.709264803,33.08992536,141.073257,6611936000,1.421768969,..,75550229.9,693811395.4,29.0384883,1353.92449,-638036057.9,2.676235314
Canada,CAN,35832513,0.832774622,9984670,3.588752858,..,1.70E+12,47460,1.58E+12,43960,..,82.12902439,1.6,10.1748,..,..,5.3,..,90,..,110.8872223,1.008069992,..,3470690,..,7603.739263,..,..,1.56E+12,1.000882494,-0.755602608,..,..,31.52797293,33.9997624,24.0576146,17.73788405,2,102.1656451,1.155909488,82.79621957,13.83881697,53.79149069,107.9987507,..,..,..,5112912771,61642188666,..,43525.37019,22593720828,1.125241361
Cayman Islands,CYM,59963,1.327924831,264,227.1325758,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,127,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155.5025599,..,..,64.74723613,..,..,..,..,52430528000,..,..,..,-2.347527702
Central African Republic,CAF,4546100,0.677771774,622980,7.297345019,..,1638326392,360,3022247141,660,..,51.41,4.94,107.7732,..,..,130.2,..,49,..,..,..,4.2,221700,..,..,..,..,1583776806,4.799886081,6.16227331,39.99805339,15.51485293,12.61192275,34.57869944,13.9226946,..,10,..,1.590637871,27.330987,..,27.26521196,76.81490793,661851000,1.120606647,..,..,3000000,107.0653967,348.3814271,..,37.14221481
Chad,TCD,14009413,3.190940272,1284000,10.91075779,..,12420642861,890,29905962189,2130,..,52.575,6.05,167.942,5.7,20.2,130.8,28.8,46,..,22.52219963,0.704840004,1.4,48750,..,..,..,..,10985793715,2.767675685,-8.147211923,50.21298666,13.60266951,29.8930571,36.42992884,28.35604455,..,9,..,2.02944821,39.01517501,..,53.70572353,126.2175594,1617003000,0.45472071,..,..,559443536.8,43.30302776,784.1723072,..,3.669900434
Channel Islands,CHI,163758,0.482972961,190,861.8842105,..,..,..,..,..,..,80.958,1.472,7.3012,..,..,..,..,..,..,..,..,..,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,17762681,0.841711121,756096,23.4926266,11.7,2.54E+11,14270,3.92E+11,22060,4.8,79.315,1.785,47.526,..,99.7,7.9,..,96,93.7303009,99.88741302,0.991100013,0.5,177350,..,2028.886011,..,..,2.44E+11,2.305257138,4.96949871,3.760876024,29.67373799,29.36666904,29.58617478,23.78035771,21.01213884,7,78.01328174,1.909455988,130.64668,6.095976381,51.09838027,187.1544699,..,..,..,386476769,21050769695,3.058659895,13736.63569,-5025946514,4.348867283
China,CHN,1371220000,0.508136747,9562911,143.3893926,5.7,1.09E+13,7950,1.97E+13,14400,0,76.092,1.617,6.5968,..,99.9,10.8,..,99,..,..,1.013380051,..,2083213,14.99209152,..,..,..,1.11E+13,6.900204817,0.093333428,8.832724007,40.93163605,21.34807161,18.10499392,45.40088041,16.03850912,9,74.00150272,1.934922427,92.48087287,25.64819362,35.72664461,93.03458303,1.33E+12,1.146870086,..,20421778043,2.42E+11,-0.242317061,8069.213024,-68098649765,1.437024514
Colombia,COL,48228697,0.90978181,1141749,42.24106787,27.8,3.44E+11,7130,6.54E+11,13560,3.8,74.2,1.874,51.537,81,95.9,15.7,..,94,100.466423,98.09190369,1.019449949,0.5,585017.4,..,..,..,..,2.92E+11,3.052016573,2.453469416,6.042071181,30.53851312,15.24861381,23.37285065,26.72047961,23.10389482,9,29.48530819,3.124883717,118.8658902,9.489813759,30.89550741,110.3497222,1.11E+11,4.879206632,..,333683053.2,11723216758,28.1131377,6044.525556,-7517989279,4.989829057
Comoros,COM,777424,2.347699491,1861,417.7452982,..,612558781.6,790,1177765165,1510,..,63.473,4.42,68.989,..,..,73.2,..,90,..,..,..,0.1,370,..,..,..,..,565689764.6,1.015118459,3.426132809,33.58358966,10.76224169,17.7904167,47.2851598,18.39999998,..,9,..,..,54.64019634,..,40.74998209,145.2930305,133679000,1.263475367,..,..,5146839.506,84.61277244,727.6463868,..,..
"Congo, Dem. Rep.",COD,76196619,3.300416414,2344860,32.49516773,..,34874238325,460,61065792438,800,..,59.205,6.202,126.2696,..,..,97.6,..,79,69.95410156,46.19419098,0.889490008,0.8,1525780,..,..,..,..,37917704900,6.91618781,-1.155897722,18.3703885,41.7048639,27.7255678,31.60686316,19.56562962,..,7,..,1.278151274,49.54653172,..,31.91121412,111.1213744,5388168000,1.107508403,..,851177411,1265374484,34.10964993,497.6297557,-1165720010,0.744198995
"Congo, Rep.",COG,4995648,2.524714384,342000,14.60715789,..,11723289157,2350,29184954888,5840,..,64.112,4.721,116.3622,30.1,91.2,51.3,12.3,80,..,..,..,3.2,223340,..,..,..,..,8553154580,2.646485877,-29.69106658,7.243495885,54.67437765,69.27556739,96.37029556,40.87290974,..,11,..,..,104.4108792,..,116.8154393,144.4331015,4060193000,2.673412616,..,67643982.27,4278118365,17.77547177,1712.121146,-3727584117,4.514036066
Costa Rica,CRI,4807852,1.051233008,51100,94.08712329,21.7,50473105578,10500,72224039225,15020,4.3,79.634,1.8,55.701,..,90,9.4,..,93,99.46630859,123.0860596,1.016729951,0.4,27560,..,..,..,..,54775972989,3.631690989,3.776914533,4.956676892,19.42181442,30.82495257,31.69336836,18.43278156,24.17063054,9,..,0,156.7352531,16.83027242,46.90884086,61.88901528,23588779000,5.278048459,..,407784045.2,2955521681,23.14963106,11393.02395,-2541308964,0.80208056
Cote d'Ivoire,CIV,23108472,2.529163078,322460,71.66306519,46.3,34508761424,1490,77343489686,3350,5.7,53.053,4.976,134.061,..,..,94.9,..,69,62.1322403,43.28860092,0.825030029,2.9,104010,..,..,..,..,33145096414,8.842865442,3.106147122,22.73562326,25.77787082,35.4063797,25.84274835,20.10381936,16.81425459,4,..,1.776009024,109.9493294,4.787353021,64.15036056,172.8617298,11362991000,2.514389348,..,649507954.8,494209964.3,28.26063099,1434.326615,-479807382.4,1.251499548
Croatia,HRV,4203604,-0.824099164,56590,74.28174589,19.5,54435193353,12950,94901071087,22580,7.3,77.27560976,1.4,9.8238,..,99.9,4.8,..,93,100.5362778,98.23200989,1.033849955,..,19220,..,..,..,..,49425513611,2.347349627,-0.019753075,3.523578907,22.34185648,48.22707217,45.85553283,20.00915622,..,8,37.25701294,1.540303492,104.2408716,8.980481306,67.85377824,73.82152182,..,..,..,275480854.1,158968737.6,..,11757.89004,-175731670.2,-0.50390772
Cuba,CUB,11461432,0.189204124,109880,104.3086276,..,..,..,..,..,..,79.57,1.72,46.4086,..,99.9,5.6,..,99,99.3397522,100.3902206,0.991240025,0.4,32000,..,..,..,..,87132800000,4.438333589,3.439048763,3.835754159,22.35380936,17.14738881,14.45058577,9.372589886,..,..,..,3.083791445,29.10060453,..,17.27478056,164.1670931,..,..,..,..,..,48.22521304,7602.261218,..,..
Curacao,CUW,157980,1.319593903,444,355.8108108,..,..,..,..,..,..,..,1.9,32.8964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120.5550282,..,..,..,..,..,..,130206703.9,146435754.2,..,..,-127804469.3,-0.47654205
Cyprus,CYP,1160985,0.750102726,9250,125.5118919,..,22216909747,26210,26892224920,31730,7.9,80.344,1.35,4.8136,..,..,2.9,..,90,96.81906128,99.77831268,0.996190012,0.1,1727,..,..,..,..,19676167240,1.97906359,-1.182622429,1.84872055,9.750309999,64.52429264,63.72111374,14.21993011,37.90384399,6,13.68355924,1.676343184,131.7901791,6.150921929,52.43634227,60.66147076,..,..,..,677449037.3,8106710246,..,23212.2247,9280975832,-2.096997691
Czech Republic,CZE,10546059,0.196588748,78870,133.7144542,..,1.93E+11,18250,3.29E+11,31210,9.7,78.57804878,1.57,10.4158,..,..,3.1,..,99,96.03790283,105.0474625,1.007159948,0.1,26670,..,3860.002964,..,..,1.87E+11,5.309238519,1.16589854,2.227911979,33.99185732,81.04930107,75.05056266,27.95578033,31.18365249,8,..,0.952677705,117.4543054,14.90433569,160.2491332,104.3625534,..,..,..,1376392339,1699914617,..,17715.61685,2026234172,0.309364548
Denmark,DNK,5683483,0.70642385,42922,132.4142165,..,3.42E+11,60170,2.85E+11,50190,9.4,80.70243902,1.71,4.2482,..,95.4,4.2,..,91,98.74250793,130.258606,1.018409967,0.1,6122,..,2816.614565,..,..,3.01E+11,1.606608994,0.701115894,0.802867928,19.67236082,55.67557328,48.38336191,19.96903964,39.55437993,5,..,1.116482033,124.4441651,15.9628968,60.10906139,101.8425882,..,..,..,2781262009,1850770715,..,53012.99658,5406579387,0.452034154
